Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
2+1,120,95,21,4,Merkezi (Pay Ölçer),60,Boş,Sarıyer,"40,000"
2+1,92,70,19,4,Merkezi (Pay Ölçer),21,Boş,Kadıköy,"18,500"
2+1,90,65,12,2,Merkezi (Pay Ölçer),17,Boş,Zeytinburnu,"25,000"
2+1,80,75,3,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Üsküdar,"8,500"
2+1,100,90,Bahçe Katı,16-20,Kombi Doğalgaz,4,Boş,Küçükçekmece,"7,500"
2+1,80,75,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Büyükçekmece,"7,500"
2+1,90,85,2,16-20,Kombi Doğalgaz,4,Boş,Büyükçekmece,"8,000"
3+1,155,150,1,21 Ve Üzeri,Merkezi Doğalgaz,4,Boş,Beşiktaş,"25,000"
3+1,156,120,Yüksek Giriş,11-15,Merkezi Doğalgaz,22,Boş,Başakşehir,"23,000"
1+1,70,60,6,4,Merkezi (Pay Ölçer),12,Boş,Kağıthane,"12,000"
3+1,212,175,6,5-10,Yerden Isıtma,22,Kiracı Oturuyor,Ümraniye,"25,000"
2+1,95,80,2,5-10,Kombi Doğalgaz,4,Boş,Beşiktaş,"19,000"
2+1,80,75,6,5-10,Merkezi (Pay Ölçer),7,Boş,Şişli,"15,000"
1+1,70,50,6,0 (Yeni),Kombi Doğalgaz,25,Boş,Maltepe,"15,000"
2+1,130,120,16,5-10,Merkezi Doğalgaz,22,Boş,Başakşehir,"14,000"
2+1,95,80,1,5-10,Kombi Doğalgaz,5,Boş,Ümraniye,"10,000"
3+1,90,80,5,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"8,500"
1+1,90,80,4,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"7,500"
1+1,85,75,5,1,Kombi Doğalgaz,5,Boş,Üsküdar,"8,000"
1+1,85,75,5,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"7,500"
2+1,90,80,Yüksek Giriş,16-20,Kombi Doğalgaz,6,Boş,Şişli,"8,000"
3+1,130,120,3,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"20,000"
1+1,75,70,Yüksek Giriş,11-15,Klimalı,5,Boş,Esenyurt,"5,500"
3+1,110,100,7,5-10,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Kadıköy,"23,000"
1+1,80,70,6,11-15,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"25,000"
1+1,85,65,11,5-10,Merkezi (Pay Ölçer),15,Boş,Sarıyer,"28,000"
Stüdyo,55,45,9,1,Merkezi (Pay Ölçer),30,Boş,Bağcılar,"9,000"
3+1,125,110,3,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Beykoz,"13,500"
1+1,66,60,2,5-10,Kombi Doğalgaz,4,Boş,Kağıthane,"13,750"
3+1,120,106,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Şişli,"18,000"
2+1,100,95,1,16-20,Kombi Doğalgaz,5,Boş,Beyoğlu,"10,000"
2+1,90,80,2,21 Ve Üzeri,Kombi Doğalgaz,5,Kiracı Oturuyor,Şişli,"13,000"
3+1,125,110,3,16-20,Kombi Doğalgaz,6,Boş,Beykoz,"13,500"
1+1,65,55,Bahçe Katı,11-15,Kombi Doğalgaz,2,Boş,Şile,"5,500"
2+1,90,80,Yüksek Giriş,0 (Yeni),Kombi Doğalgaz,5,Boş,Esenyurt,"5,000"
3+1,160,150,6,21 Ve Üzeri,Merkezi Doğalgaz,9,Boş,Büyükçekmece,"12,500"
1.5+1,118,90,6,4,Merkezi (Pay Ölçer),33,Boş,Sarıyer,"26,000"
3+1,135,120,Yüksek Giriş,5-10,Kombi Doğalgaz,6,Boş,Başakşehir,"10,500"
2+1,141,96,6,2,Merkezi (Pay Ölçer),10,Boş,Sarıyer,"40,000"
2+1,85,75,3,5-10,Kombi Doğalgaz,5,Boş,Şişli,"13,000"
2+1,85,75,3,5-10,Kombi Doğalgaz,5,Boş,Şişli,"12,500"
2+1,80,75,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Ataşehir,"7,000"
1+1,65,60,Kot 2 (-2),21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Beyoğlu,"12,000"
2+1,85,75,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Kadıköy,"30,000"
4+1,190,180,2,5-10,Merkezi (Pay Ölçer),8,Boş,Küçükçekmece,"22,500"
4+1,220,200,2,5-10,Merkezi (Pay Ölçer),3,Boş,Küçükçekmece,"40,000"
3+1,160,145,4,11-15,Doğalgaz Sobalı,13,Boş,Beylikdüzü,"15,000"
3+1,149,127,3,11-15,Kombi Doğalgaz,7,Boş,Başakşehir,"18,000"
4+1,230,180,4,11-15,Kombi Doğalgaz,10,Boş,Kadıköy,"40,000"
Stüdyo,60,50,Düz Giriş,11-15,Kombi Doğalgaz,5,Boş,Üsküdar,"6,500"
2+1,120,110,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
3+1,160,135,2,2,Merkezi (Pay Ölçer),5,Boş,Beylikdüzü,"19,500"
4+1,320,250,Düz Giriş,5-10,Kombi Doğalgaz,3,Boş,Silivri,"20,000"
3+1,165,150,3,5-10,Merkezi (Pay Ölçer),7,Boş,Beylikdüzü,"18,500"
3+1,155,140,10,21 Ve Üzeri,Kombi Doğalgaz,14,Boş,Beylikdüzü,"11,000"
1+1,75,70,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bayrampaşa,"6,000"
2+1,101,73,4,1,Merkezi (Pay Ölçer),17,Boş,Kağıthane,"40,000"
3+1,130,110,8,16-20,Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Başakşehir,"22,500"
2+1,90,85,5,11-15,Kombi Doğalgaz,6,Boş,Büyükçekmece,"6,000"
1+1,60,55,Çatı Katı,16-20,Kombi Doğalgaz,5,Boş,Şişli,"9,000"
1+1,110,100,Bahçe Katı,5-10,Doğalgaz Sobalı,5,Boş,Fatih,"15,000"
1+1,60,50,7,5-10,Merkezi (Pay Ölçer),14,Boş,Ümraniye,"10,500"
1+1,59,49,17,11-15,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"7,000"
2+1,120,100,3,11-15,Kombi Doğalgaz,5,Boş,Fatih,"14,000"
2+1,120,100,5,11-15,Kombi Doğalgaz,5,Boş,Fatih,"14,000"
2+1,120,100,5,11-15,Kombi Doğalgaz,5,Boş,Fatih,"14,000"
2.5+1,110,90,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Şişli,"25,000"
3+1,165,134,6,5-10,Merkezi (Pay Ölçer),16,Boş,Gaziosmanpaşa,"27,000"
1+1,65,60,Yüksek Giriş,16-20,Kombi Doğalgaz,3,Boş,Ataşehir,"6,000"
5+1,180,170,4,11-15,Kombi Doğalgaz,4,Boş,Bağcılar,"15,000"
2+1,90,80,4,5-10,Kombi Doğalgaz,20,Boş,Beşiktaş,"23,000"
Stüdyo,38,28,7,4,Merkezi (Pay Ölçer),10,Boş,Esenyurt,"4,500"
1+1,70,60,2,16-20,Kombi Doğalgaz,4,Boş,Ataşehir,"8,750"
1+1,85,70,18,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"25,000"
2+1,120,85,Bahçe Katı,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Büyükçekmece,"15,000"
4+1,190,160,Çatı Katı,16-20,Kombi Doğalgaz,4,Boş,Sarıyer,"35,000"
3.5+1,130,120,2,16-20,Kombi Doğalgaz,5,Boş,Beykoz,"15,000"
1+1,95,80,21,3,Merkezi (Pay Ölçer),45,Boş,Sarıyer,"40,000"
1+1,80,70,Çatı Katı,16-20,Kombi Doğalgaz,5,Boş,Sultangazi,"5,000"
2+1,115,105,2,16-20,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beşiktaş,"22,000"
1+1,72,58,30,5-10,Merkezi (Pay Ölçer),32,Boş,Sarıyer,"25,000"
1+1,90,75,2,11-15,Kombi Doğalgaz,4,Boş,Eyüpsultan,"21,000"
3+1,130,120,5,16-20,Kombi Doğalgaz,6,Boş,Bahçelievler,"10,000"
1+1,95,80,20,4,Merkezi (Pay Ölçer),45,Boş,Sarıyer,"40,000"
3+1,130,120,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"12,000"
3+1,130,120,4,21 Ve Üzeri,Kombi Doğalgaz,5,Kiracı Oturuyor,Fatih,"15,000"
3+1,140,120,8,11-15,Kombi Doğalgaz,10,Boş,Beylikdüzü,"7,000"
1+1,73,70,3,5-10,Kombi Doğalgaz,10,Boş,Beşiktaş,"25,000"
1+1,68,64,20,5-10,Merkezi (Pay Ölçer),27,Boş,Esenyurt,"6,450"
2+1,156,120,4,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Fatih,"18,500"
4+1,240,210,1,16-20,Kombi Doğalgaz,3,Boş,Bakırköy,"30,000"
4+1,250,220,Düz Giriş,11-15,Kombi Doğalgaz,2,Boş,Şile,"11,000"
3+1,175,165,1,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Bakırköy,"27,000"
1+1,70,60,21,3,Merkezi (Pay Ölçer),35,Boş,Kartal,"15,600"
2+1,85,75,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,5,Boş,Bahçelievler,"10,000"
4+1,293,235,Villa Tipi,5-10,Merkezi (Pay Ölçer),1,Mülk Sahibi Oturuyor,Esenyurt,"17,000"
4+2,200,190,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Üsküdar,"14,000"
1+1,60,45,4,4,Kombi Doğalgaz,15,Boş,Kağıthane,"18,000"
3+1,180,145,3,21 Ve Üzeri,Kombi Doğalgaz,11,Boş,Beylikdüzü,"15,000"
1+1,80,55,7,0 (Yeni),Merkezi Doğalgaz,7,Boş,Kağıthane,"18,500"
2+1,110,90,1,5-10,Kombi Doğalgaz,4,Boş,Esenyurt,"6,000"
2+1,100,75,19,1,Merkezi (Pay Ölçer),21,Boş,Kadıköy,"18,500"
3+1,110,105,7,21 Ve Üzeri,Merkezi Doğalgaz,11,Mülk Sahibi Oturuyor,Bahçelievler,"14,000"
2+1,100,85,Düz Giriş,16-20,Kombi Doğalgaz,5,Boş,Sultangazi,"6,000"
2+1,80,75,Bahçe Katı,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Avcılar,"7,200"
2+1,110,100,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Ümraniye,"6,000"
3+1,149,127,3,11-15,Kombi Doğalgaz,7,Boş,Başakşehir,"17,900"
3+1,120,110,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Beylikdüzü,"10,000"
3+1,135,130,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Büyükçekmece,"14,000"
1+1,95,90,3,4,Kombi Doğalgaz,3,Boş,Avcılar,"11,000"
2+1,120,100,2,11-15,Kombi Doğalgaz,5,Boş,Gaziosmanpaşa,"7,500"
4+2,460,445,Villa Tipi,4,Kombi Doğalgaz,3,Boş,Beylikdüzü,"20,000"
1+1,79,63,38,2,Merkezi (Pay Ölçer),39,Boş,Esenyurt,"7,750"
2+0,95,85,1,11-15,Kombi Doğalgaz,4,Boş,Şişli,"12,500"
2+1,85,80,3,5-10,Kombi Doğalgaz,4,Boş,Avcılar,"9,000"
2+1,100,90,15,2,Merkezi (Pay Ölçer),24,Boş,Kadıköy,"25,000"
1+1,120,85,4,4,Merkezi (Pay Ölçer),20,Boş,Gaziosmanpaşa,"14,000"
1+1,65,50,Yüksek Giriş,16-20,Kombi Doğalgaz,4,Boş,Ataşehir,"7,750"
2+1,100,85,Bahçe Katı,16-20,Kombi Doğalgaz,3,Boş,Şile,"8,000"
4+1,400,340,3,16-20,Kombi Doğalgaz,4,Boş,Avcılar,"27,000"
2+1,120,100,6,3,Merkezi (Pay Ölçer),12,Boş,Esenyurt,"8,000"
Stüdyo,25,22,Çatı Katı,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"5,000"
Stüdyo,27,25,4,4,Kombi Doğalgaz,4,Boş,Fatih,"7,000"
2+1,95,90,Düz Giriş,16-20,Kombi Doğalgaz,5,Boş,Avcılar,"8,000"
2+1,125,120,Düz Giriş,0 (Yeni),Kombi Doğalgaz,7,Boş,Avcılar,"10,000"
1+1,77,55,1,5-10,Kombi Doğalgaz,10,Mülk Sahibi Oturuyor,Sancaktepe,"6,950"
1+1,55,48,4,11-15,Merkezi (Pay Ölçer),12,Boş,Sancaktepe,"11,000"
1+1,60,50,6,5-10,Merkezi (Pay Ölçer),13,Boş,Sancaktepe,"8,500"
2+1,105,73,9,1,Merkezi (Pay Ölçer),10,Boş,Küçükçekmece,"20,000"
2+1,95,90,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Sarıyer,"10,000"
2+1,100,95,5,5-10,Kombi Doğalgaz,6,Boş,Kağıthane,"14,000"
1+1,60,53,Çatı Katı,5-10,Kombi Doğalgaz,5,Boş,Şişli,"10,000"
2+1,90,80,Kot 2 (-2),16-20,Kombi Doğalgaz,5,Boş,Kağıthane,"10,000"
2+1,100,95,3,5-10,Merkezi (Pay Ölçer),14,Kiracı Oturuyor,Kağıthane,"14,000"
1+1,55,50,4,5-10,Kombi Doğalgaz,4,Boş,Şişli,"8,500"
2+1,90,80,Yüksek Giriş,11-15,Kombi Doğalgaz,5,Boş,Kağıthane,"13,500"
3+1,165,150,Villa Tipi,0 (Yeni),Kombi Doğalgaz,4,Boş,Beylikdüzü,"20,000"
2+1,100,90,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Avcılar,"10,000"
4+1,150,140,5,16-20,Kombi Doğalgaz,5,Boş,Avcılar,"12,000"
3+1,130,110,3,11-15,Kombi Doğalgaz,3,Boş,Ümraniye,"10,000"
2+1,110,100,1,11-15,Kombi Doğalgaz,4,Boş,Ümraniye,"12,000"
3+1,170,155,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Büyükçekmece,"8,000"
3+1,115,110,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,8,Boş,Beylikdüzü,"5,000"
2+1,95,90,5,4,Kombi Doğalgaz,8,Boş,Esenyurt,"11,000"
2+1,75,70,Yüksek Giriş,5-10,Merkezi (Pay Ölçer),15,Boş,Başakşehir,"8,000"
4+1,220,180,Düz Giriş,16-20,Kombi Doğalgaz,3,Boş,Tuzla,"20,000"
Stüdyo,60,45,10,5-10,Merkezi (Pay Ölçer),20,Boş,Esenyurt,"6,000"
3+1,150,140,5,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"31,000"
2+1,80,75,Çatı Katı,11-15,Kombi Doğalgaz,3,Boş,Eyüpsultan,"8,000"
1+1,50,40,14,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Bakırköy - Ataköy 7-8-9,"12,000"
2+1,110,90,15,3,Merkezi (Pay Ölçer),20,Boş,Başakşehir,"25,000"
1 Oda,32,23,3,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Kadıköy,"3,900"
1+1,110,100,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Sarıyer,"28,000"
2+1,90,80,3,5-10,Merkezi Doğalgaz,6,Boş,Esenyurt,"6,050"
2+1,95,90,3,3,Kombi Doğalgaz,6,Boş,Esenyurt,"5,500"
1+1,55,50,Düz Giriş,16-20,Kombi Doğalgaz,2,Boş,Silivri,"5,000"
2+1,85,80,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih - Hırka,"9,000"
1+1,73,60,13,2,Merkezi (Pay Ölçer),39,Boş,Esenyurt,"9,000"
2+1,88,60,14,5-10,Merkezi (Pay Ölçer),14,Boş,Eyüpsultan,"18,500"
5+2,350,300,7,5-10,Kombi Doğalgaz,7,Boş,Büyükçekmece,"25,000"
1+1,75,55,Kot 1 (-1),4,Kombi Doğalgaz,5,Boş,Eyüpsultan,"7,500"
3+1,115,100,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Ataşehir,"9,000"
3+1,120,110,Bahçe Katı,16-20,Kombi Doğalgaz,3,Boş,Bahçelievler,"7,000"
3+1,120,110,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Zeytinburnu,"14,000"
Stüdyo,55,45,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"8,500"
2+1,90,85,Kot 1 (-1),21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"7,750"
2+1,110,100,3,16-20,Kombi Doğalgaz,5,Boş,Avcılar,"8,000"
2+1,90,85,8,4,Merkezi Doğalgaz,12,Boş,Başakşehir,"17,000"
2+1,105,90,2,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"7,000"
2+1,100,80,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,3,Boş,Başakşehir,"7,500"
2+1,90,80,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Eyüpsultan,"6,500"
Stüdyo,50,35,2,4,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"4,000"
2+1,103,95,Bahçe Katı,4,Merkezi (Pay Ölçer),11,Boş,Küçükçekmece,"25,000"
3+1,130,115,2,21 Ve Üzeri,Merkezi (Pay Ölçer),8,Boş,Bakırköy - Ataköy 2-5,"14,500"
3+1,140,120,4,3,Kombi Doğalgaz,5,Boş,Şişli,"20,000"
3+1,150,140,1,4,Kombi Doğalgaz,3,Boş,Büyükçekmece,"12,000"
2+1,100,97,6,4,Merkezi (Pay Ölçer),10,Boş,Çekmeköy,"10,000"
3+1,110,100,Düz Giriş,4,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,750"
1+1,73,50,7,5-10,Merkezi (Pay Ölçer),18,Boş,Bahçelievler,"15,000"
3+1,110,100,Düz Giriş,4,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,750"
1+1,73,50,7,5-10,Merkezi (Pay Ölçer),18,Boş,Bahçelievler,"15,000"
2+1,85,70,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Bakırköy,"6,000"
3+1,106,105,6,16-20,Merkezi Doğalgaz,11,Boş,Kağıthane,"12,500"
Stüdyo,65,55,7,11-15,Kombi Doğalgaz,10,Boş,Pendik,"5,500"
3+1,155,150,1,21 Ve Üzeri,Merkezi Doğalgaz,4,Boş,Beşiktaş,"25,000"
2+1,100,90,3,4,Kombi Doğalgaz,5,Boş,Çekmeköy,"9,800"
3+1,164,135,3,5-10,Kombi Doğalgaz,15,Mülk Sahibi Oturuyor,Esenyurt,"15,000"
1+1,75,60,8,5-10,Kombi Doğalgaz,30,Kiracı Oturuyor,Esenyurt,"10,000"
2+1,101,80,6,5-10,Merkezi (Pay Ölçer),12,Boş,Sarıyer,"40,000"
2+1,100,85,3,11-15,Kombi Doğalgaz,5,Boş,Eyüpsultan,"10,000"
1+1,85,62,3,1,Merkezi (Pay Ölçer),10,Boş,Beylikdüzü,"15,000"
2+1,120,100,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kartal,"10,000"
2+1,60,55,Çatı Katı,11-15,Kombi Doğalgaz,5,Boş,Şişli,"12,000"
2+1,90,85,Düz Giriş,16-20,Kombi Doğalgaz,4,Boş,Gaziosmanpaşa,"8,000"
3+1,150,120,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Bahçelievler,"12,000"
1+1,80,65,6,5-10,Merkezi (Pay Ölçer),10,Boş,Esenyurt,"7,000"
2+1,120,100,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Üsküdar,"9,500"
1+1,90,70,Bahçe Katı,5-10,Kombi Doğalgaz,5,Boş,Esenyurt,"5,000"
4+2,180,160,Çatı Katı,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Sultangazi,"9,500"
2+1,95,90,Yüksek Giriş,16-20,Doğalgaz Sobalı,5,Boş,Sultangazi,"5,000"
2+1,110,88,1,1,Merkezi (Pay Ölçer),13,Boş,Kağıthane,"15,000"
2+1,90,85,1,5-10,Kombi Doğalgaz,4,Kiracı Oturuyor,Kağıthane,"12,500"
3+1,160,120,4,21 Ve Üzeri,Merkezi Doğalgaz,8,Boş,Kadıköy,"14,520"
2+1,125,120,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"12,000"
3+1,165,160,Çatı Dubleks,5-10,Kombi Doğalgaz,3,Boş,Şişli,"27,000"
2+1,100,90,13,5-10,Kombi Doğalgaz,25,Boş,Esenyurt,"8,000"
3+1,165,140,5,16-20,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şile,"15,000"
3.5+1,150,140,1,5-10,Kombi Doğalgaz,4,Boş,Avcılar,"11,000"
1+1,62,50,2,5-10,Merkezi (Pay Ölçer),9,Boş,Küçükçekmece,"8,100"
Stüdyo,45,40,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Fatih,"3,500"
1+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Fatih,"5,500"
Stüdyo,20,19,Yüksek Giriş,4,Klimalı,3,Boş,Fatih,"4,000"
1+1,65,45,20,1,Merkezi Doğalgaz,22,Mülk Sahibi Oturuyor,Kadıköy,"20,000"
3+1,140,110,5,21 Ve Üzeri,Merkezi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"15,000"
1+1,119,81,20,16-20,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Şişli,"20,000"
1+1,65,50,5,5-10,Merkezi (Pay Ölçer),30,Boş,Küçükçekmece,"10,000"
1+1,66,52,14,1,Merkezi (Pay Ölçer),17,Boş,Sarıyer,"18,000"
Stüdyo,45,35,8,1,Merkezi (Pay Ölçer),14,Boş,Sarıyer,"15,000"
1+1,86,60,12,5-10,Merkezi (Pay Ölçer),20,Boş,Sarıyer,"22,000"
1+1,80,75,20,1,Merkezi (Pay Ölçer),30,Boş,Bağcılar,"13,500"
1+1,90,80,13,11-15,Merkezi (Pay Ölçer),19,Boş,Küçükçekmece,"12,000"
2+1,150,130,4,11-15,Merkezi (Pay Ölçer),17,Boş,Başakşehir,"19,000"
3+1,150,130,3,11-15,Kombi Doğalgaz,4,Boş,Üsküdar,"11,500"
6+1,240,220,4,16-20,Kombi Doğalgaz,4,Boş,Şişli,"20,000"
3+1,160,135,5,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"40,000"
2+1,115,105,2,16-20,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beşiktaş,"22,500"
2+2,100,96,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kağıthane,"7,500"
3+2,170,147,4,4,Kombi Doğalgaz,5,Boş,Kağıthane,"22,000"
1+1,90,75,8,4,Merkezi (Pay Ölçer),15,Kiracı Oturuyor,Kağıthane,"25,000"
2+1,95,85,4,21 Ve Üzeri,Merkezi (Pay Ölçer),5,Boş,Şişli,"19,500"
2+1,90,85,2,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Beyoğlu,"30,000"
2+1,90,89,4,21 Ve Üzeri,Merkezi (Pay Ölçer),5,Boş,Şişli,"30,000"
2+1,80,75,4,11-15,Kombi Doğalgaz,6,Boş,Kağıthane,"10,000"
2+1,110,75,8,0 (Yeni),Merkezi (Pay Ölçer),15,Boş,Kağıthane,"22,000"
1+1,90,65,23,5-10,Yerden Isıtma,30,Boş,Sarıyer,"19,999"
1+1,75,65,9,16-20,Merkezi (Pay Ölçer),9,Kiracı Oturuyor,Küçükçekmece,"8,500"
1 Oda,52,45,3,3,Merkezi Doğalgaz,6,Boş,Şişli,"30,000"
Stüdyo,45,35,3,1,Merkezi (Pay Ölçer),11,Kiracı Oturuyor,Sarıyer,"18,000"
2+1,147,101,2,4,Merkezi (Pay Ölçer),24,Boş,Gaziosmanpaşa,"22,000"
2+1,130,120,1,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Bakırköy,"20,000"
2+1,105,94,Tam Bodrum,5-10,Merkezi Doğalgaz,3,Boş,Eyüpsultan,"11,500"
3+1,120,110,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"15,000"
1+1,65,60,4,5-10,Merkezi (Pay Ölçer),13,Boş,Küçükçekmece,"8,500"
1+1,60,55,3,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Bakırköy - Ataköy 7-8-9,"15,000"
Stüdyo,65,55,7,11-15,Kombi Doğalgaz,10,Boş,Pendik,"5,500"
3+1,141,135,11,5-10,Merkezi (Pay Ölçer),14,Boş,Küçükçekmece,"25,000"
2+1,100,95,Yüksek Giriş,4,Kombi Doğalgaz,4,Boş,Başakşehir,"5,000"
1+1,65,55,Yüksek Giriş,1,Kombi Doğalgaz,4,Boş,Şişli,"9,500"
3+1,100,90,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"15,000"
3+1,145,136,3,21 Ve Üzeri,Merkezi (Pay Ölçer),4,Boş,Sarıyer,"30,500"
3+1,200,165,11,11-15,Kombi Doğalgaz,12,Boş,Beylikdüzü,"20,000"
2+1,68,55,8,11-15,Merkezi (Pay Ölçer),8,Boş,Başakşehir,"8,200"
5+2,525,500,Düz Giriş,16-20,Kombi Doğalgaz,3,Boş,Beykoz,"30,000"
2+1,100,90,3,21 Ve Üzeri,Kombi Doğalgaz,7,Boş,Beykoz,"12,500"
2+0,65,50,Düz Giriş,16-20,Isıtma Yok,8,Boş,Pendik,"3,500"
2+1,95,83,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,500"
2+1,120,110,4,16-20,Kombi Doğalgaz,5,Boş,Büyükçekmece,"5,800"
2+1,140,135,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Zeytinburnu,"6,500"
4+1,226,200,1,4,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"40,000"
1+1,68,55,6,5-10,Merkezi (Pay Ölçer),9,Boş,Pendik,"10,500"
3.5+1,120,110,2,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Beşiktaş,"20,000"
2+1,95,90,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Sarıyer,"15,000"
2+1,120,95,25,5-10,Merkezi (Pay Ölçer),29,Boş,Bağcılar,"20,000"
2+1,147,130,10,0 (Yeni),Merkezi (Pay Ölçer),17,Boş,Başakşehir,"17,000"
5+2,350,340,3,3,Kombi Doğalgaz,3,Boş,Büyükçekmece,"35,000"
5+2,350,340,3,3,Kombi Doğalgaz,3,Boş,Büyükçekmece,"35,000"
1+1,70,55,22,4,Merkezi (Pay Ölçer),28,Boş,Kadıköy,"17,000"
2+1,95,90,2,16-20,Kombi Doğalgaz,4,Boş,Küçükçekmece,"6,000"
2+1,93,90,7,16-20,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Şişli,"10,000"
1+1,70,65,25,5-10,Merkezi Doğalgaz,40,Boş,Esenyurt,"6,000"
3+1,150,140,5,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"30,000"
3+1,155,135,3,4,Kombi Doğalgaz,6,Boş,Beylikdüzü,"15,500"
1+1,60,45,4,5-10,Kombi Doğalgaz,4,Boş,Küçükçekmece,"7,000"
3+1,120,110,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"9,500"
2+1,115,110,4,4,Kombi Doğalgaz,13,Boş,Esenyurt,"7,500"
2+1,90,80,2,21 Ve Üzeri,Kombi Doğalgaz,5,Kiracı Oturuyor,Bahçelievler,"8,000"
