0,1,2,3,4,5,6,7,8,9,10
3 + 1,120,110,Yüksek Giriş,8,Kombi,5,Eşyalı Değil,Boş,Kağıthane,"11,000"
2 + 1,95,85,10,6,Kombi,18,Eşyalı Değil,Boş,Esenyurt,"6,500"
3 + 1,135,130,2,5,Kombi,15,Uygun değil,Batı,Esenyurt,"7,300"
4 + 1,151,150,2,8,Kombi,2,Eşyalı Değil,Boş,Bahçelievler,"8,500"
1 + 1,78,65,2,15,Kombi,9,Eşyalı Değil,Boş,Pendik,"8,000"
1 + 1,70,55,2,10,Kombi,4,Eşyalı,Boş,Ataşehir,"9,000"
3 + 1,130,100,4,15,Kombi,7,Eşyalı Değil,Evet,Çekmeköy,"11,000"
4 + 2,200,170,En Üst Kat,4,Kombi,3,Eşyalı Değil,Boş,Beylikdüzü,"10,000"
3 + 1,130,120,2,20,Kombi,13,Eşyalı Değil,Boş,Zeytinburnu,"9,000"
3 + 1,209,153,Bahçe Katı,4,Merkezi (Pay Ölçer),3,Eşyalı,Boş,Sarıyer,"36,500"
3 + 1,120,90,5,5,Kombi,7,Eşyalı Değil,Kiracılı,Kadıköy,"17,500"
2 + 1,136,88,4,2,Merkezi (Pay Ölçer),9,Eşyalı Değil,Boş,Sarıyer,"30,000"
2 + 1,74,70,1,4,Kombi,6,Eşyalı,Boş,Beşiktaş,"30,000"
3 + 1,172,150,3,15,Merkezi (Pay Ölçer),13,Eşyalı Değil,Boş,Başakşehir,"13,500"
2 + 1,95,85,3,20,Kombi,4,Eşyalı Değil,Boş,Şile,"5,500"
4 + 1,168,145,Ara Kat,13,Kombi,15,Eşyalı Değil,Kiracılı,Gaziosmanpaşa,"25,000"
2 + 1,90,85,Ara Kat,10,Kombi,5,Eşyalı Değil,Boş,Kağıthane,"8,500"
2 + 1,120,110,4,15,Kombi,5,Eşyalı,Boş,Büyükçekmece,"5,800"
4 + 2,160,150,4,6,Kombi,5,Eşyalı Değil,Boş,Üsküdar,"26,000"
3 + 1,130,120,Ara Kat,50,Kombi,4,Eşyalı,Boş,Fatih,"9,000"
3 + 1,130,100,3,31,Merkezi,6,Eşyalı Değil,Hayır,Kadıköy,"15,000"
3 + 1,185,145,5,5,Kombi,8,Uygun değil,Kiracılı,Beylikdüzü,"15,000"
4 + 1,170,150,1,5,Merkezi (Pay Ölçer),12,Uygun değil,490,Başakşehir,"14,500"
3 + 1,125,95,5,4,Kombi,12,Uygun değil,"Kuzey, Batı",Bağcılar,"13,000"
1 + 1,90,80,Çatı Katı,3,Kombi,4,Eşyalı,Boş,Beylikdüzü,"6,500"
3 + 1,140,110,10,2,Merkezi (Pay Ölçer),13,Eşyalı Değil,Boş,Kartal,"12,500"
3 + 1,130,110,12,11,Kombi,17,Eşyalı Değil,Boş,Esenyurt,"8,500"
3 + 1,132,125,16,12,Kombi,16,Eşyalı Değil,Boş,Küçükçekmece,"12,000"
3 + 1,100,95,Yarı Bodrum,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Şişli,"8,000"
2 + 1,140,120,Ara Kat,12,Merkezi (Pay Ölçer),10,Eşyalı Değil,Mülk Sahibi,Ataşehir,"21,000"
1 + 1,70,55,Kot 2,30,Kombi,4,Eşyalı Değil,Boş,Fatih,"5,500"
2 + 1,100,70,6,1,Merkezi (Pay Ölçer),15,Eşyalı Değil,Boş,Maltepe,"20,000"
4 + 2,205,175,Ara Kat,Sıfır Bina,Kombi,6,Eşyalı Değil,Boş,Büyükçekmece,"15,000"
4 + 1,185,165,1,12,Kombi,3,Eşyalı Değil,Boş,Başakşehir,"18,000"
3 + 1,200,180,Ara Kat,20,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"35,000"
3 + 1,118,108,Kot 1,10,Merkezi (Pay Ölçer),13,Eşyalı Değil,Boş,Başakşehir,"7,900"
1 + 1,60,55,Giriş Katı,2,Kombi,4,Eşyalı,Boş,Kağıthane,"13,500"
2 + 1,90,75,3,35,Kombi,4,Eşyalı Değil,Boş,Fatih,"7,500"
3 + 1,125,110,Ara Kat,28,Kombi,7,Eşyalı Değil,Kiracılı,Şişli,"10,000"
4 + 1,240,225,2,27,Kombi,3,Eşyalı Değil,Boş,Bakırköy,"21,000"
4 + 1,160,150,3,5,Kombi,4,Eşyalı Değil,Boş,Eyüpsultan,"12,500"
3 + 1,140,105,1,Sıfır Bina,Merkezi (Pay Ölçer),5,Uygun değil,"Kuzey, Güney",Maltepe,"25,000"
3 + 1,110,90,2,35,Kombi,4,Eşyalı,Boş,Kadıköy,"20,000"
3 + 1,120,118,4,5,Kombi,6,Eşyalı Değil,Boş,Silivri,"6,500"
2 + 1,90,75,Yüksek Giriş,13,Merkezi (Pay Ölçer),11,Eşyalı Değil,Boş,Kadıköy,"15,500"
2 + 1,100,90,5,23,Merkezi,5,Eşyalı Değil,Boş,Üsküdar,"8,750"
3 + 1,150,130,Çatı Katı,15,Kombi,4,Eşyalı Değil,Boş,Beşiktaş,"27,000"
3 + 1,150,140,21 ve üzeri,5,Kombi,30,Eşyalı Değil,25.000,Esenyurt,"12,000"
3 + 1,125,96,3,Sıfır Bina,Kombi,6,Eşyalı Değil,Boş,Pendik,"13,000"
3 + 1,90,85,4,40,Merkezi,5,Eşyalı Değil,Boş,Kadıköy,"11,000"
5 + 2,240,215,3,17,Kombi,3,Eşyalı Değil,Boş,Büyükçekmece,"12,000"
1 + 0,32,28,13,5,Merkezi,15,Eşyalı,Boş,Küçükçekmece,"6,000"
3 + 1,135,120,Ara Kat,14,Kombi,8,Eşyalı Değil,Boş,Çekmeköy,"10,000"
2 + 1,125,105,6,11,Kombi,9,Uygun değil,Güney,Ümraniye,"15,000"
3 + 1,120,100,Ara Kat,25,Merkezi,5,Eşyalı Değil,Boş,Kartal,"7,000"
3 + 1,140,110,En Üst Kat,55,Kombi,5,Eşyalı Değil,Mülk Sahibi,Şişli,"15,000"
1 + 1,64,45,12,13,Kombi,20,Eşyalı Değil,Kiracılı,Gaziosmanpaşa,"8,000"
3 + 1,110,95,3,Sıfır Bina,Merkezi (Pay Ölçer),5,Eşyalı Değil,Boş,Maltepe,"15,000"
5 + 1,195,170,4,11,Kombi,4,Uygun değil,400,Bağcılar,"12,500"
1 + 1,60,50,Ara Kat,30,Kombi,5,Eşyalı,12.500,Beyoğlu,"12,500"
3 + 1,140,110,6,8,Kombi,8,Eşyalı,Boş,Kadıköy,"35,000"
3 + 1,177,150,10,7,Merkezi (Pay Ölçer),19,Eşyalı,Boş,Bağcılar,"26,000"
3 + 1,163,145,Ara Kat,25,Merkezi,8,Eşyalı Değil,Boş,Büyükçekmece,"7,250"
2 + 1,110,80,Yüksek Giriş,21,Kombi,5,Eşyalı Değil,150,Ümraniye,"6,000"
2 + 1,115,100,Yüksek Giriş,3,Kombi,4,Eşyalı Değil,Boş,Esenyurt,"6,000"
2 + 1,90,80,3,45,Kombi,5,Eşyalı,Boş,Şişli,"15,000"
3 + 1,152,135,4,22,Kombi,9,Eşyalı Değil,Boş,Beylikdüzü,"8,250"
4 + 1,220,185,6,26,Merkezi,8,Uygun değil,"Güney, Doğu, Batı",Kadıköy,"24,000"
4 + 1,150,135,Yüksek Giriş,26,Merkezi (Pay Ölçer),5,Eşyalı Değil,1.000,Beşiktaş,"23,000"
3 + 1,140,130,3,35,Merkezi,9,Eşyalı Değil,Boş,Beşiktaş,"25,000"
2 + 1,90,80,4,30,Kombi,4,Eşyalı,Boş,Beşiktaş,"15,000"
3 + 1,130,116,4,28,Merkezi,4,2,285,Üsküdar,"16,000"
2 + 1,125,100,Yüksek Giriş,26,Merkezi (Pay Ölçer),9,Eşyalı Değil,Boş,Kadıköy,"18,500"
1 + 1,65,55,Ara Kat,3,Kombi,3,Eşyalı,Boş,Eyüpsultan,"16,000"
4 + 1,220,200,En Üst Kat,11,Kombi,3,Eşyalı Değil,Boş,Eyüpsultan,"27,000"
1 + 1,50,45,Kot 2,30,Kombi,5,Eşyalı Değil,Boş,Beyoğlu,"8,200"
2 + 1,110,90,Ara Kat,5,Kombi,8,Eşyalı Değil,Boş,Silivri,"5,000"
3 + 1,130,120,2,14,Kombi,4,Eşyalı,Boş,Çekmeköy,"12,500"
3 + 1,125,115,2,Sıfır Bina,Kombi,5,Uygun değil,"Doğu, Batı",Üsküdar,"16,000"
1 + 1,55,50,13,Sıfır Bina,Kombi,22,Eşyalı Değil,Boş,Kağıthane,"11,000"
2 + 1,160,130,Bahçe Katı,4,Merkezi (Pay Ölçer),24,Uygun değil,Via Port Venezia Konutları,Gaziosmanpaşa,"28,000"
3 + 1,115,90,1,31,Kombi,2,Uygun değil,"Kuzey, Güney, Doğu, Batı",Kartal,"10,000"
3 + 1,152,132,1,11,Kombi,13,Eşyalı Değil,Küçükçekmece,"13,000",
2 + 1,110,90,2,45,Merkezi,4,Eşyalı Değil,Kiracılı,Şişli,"15,500"
2 + 1,130,120,3,40,Kombi,4,Eşyalı Değil,Boş,Fatih,"12,500"
3 + 1,160,130,5,35,Kombi,8,Eşyalı Değil,Boş,Şişli,"20,000"
2 + 1,90,80,3,35,Kombi,4,Eşyalı,Boş,Şişli,"15,000"
3 + 1,125,100,2,25,Kombi,10,Eşyalı Değil,Boş,Kartal,"7,000"
2 + 1,140,135,2,18,Kombi,2,Eşyalı,Beykoz,"9,000",
1 + 1,85,80,Bahçe Katı,18,Kombi,5,Eşyalı Değil,22.500,Şişli,"11,250"
2 + 1,112,70,8,4,Merkezi (Pay Ölçer),25,2,"Kuzey, Güney, Doğu, Batı",Eyüpsultan,"18,000"
1 + 1,78,65,21 ve üzeri,1,Merkezi,44,Eşyalı,1.072,Şişli,"37,990"
2 + 1,95,90,1,33,Kombi,4,Eşyalı Değil,Boş,Güngören,"6,250"
2 + 1,120,110,En Üst Kat,10,Kombi,4,Eşyalı Değil,Boş,Sultangazi,"7,000"
1 + 1,60,55,Ara Kat,10,Kombi,13,Eşyalı,Mülk Sahibi,Kadıköy,"12,500"
2 + 1,125,92,15,5,Merkezi (Pay Ölçer),17,Eşyalı,Boş,Zeytinburnu,"30,000"
2 + 1,110,80,4,30,Merkezi,12,Eşyalı Değil,Boş,Kadıköy,"11,000"
4 + 1,200,165,6,7,Kombi,7,Eşyalı Değil,Mülk Sahibi,Kadıköy,"40,000"
3 + 1,135,120,1,4,Kombi,4,Uygun değil,200,Tuzla,"14,000"
1 + 1,68,44,7,5,Merkezi (Pay Ölçer),8,Uygun değil,860,Sancaktepe,"6,000"
2 + 1,115,90,4,Sıfır Bina,Merkezi (Pay Ölçer),6,Eşyalı Değil,Boş,Silivri,"5,500"
2 + 1,115,100,Giriş Katı,3,Kombi,5,Eşyalı Değil,Boş,Esenyurt,"6,600"
2 + 1,80,70,Bahçe Katı,14,Kombi,5,Eşyalı Değil,Mülk Sahibi,Küçükçekmece,"4,500"
4 + 1,295,250,11,20,Merkezi (Pay Ölçer),21,Eşyalı Değil,Boş,Ataşehir,"35,000"
3 + 1,160,150,4,30,Kombi,5,Eşyalı Değil,Boş,Beşiktaş,"22,000"
3 + 1,113,100,5,31,Merkezi,9,Eşyalı Değil,Boş,Üsküdar,"12,000"
1 + 1,115,110,8,2,Merkezi,8,Eşyalı,Evet,Kağıthane,"20,000"
1 + 1,65,60,Yüksek Giriş,19,Kombi,4,Eşyalı Değil,Boş,Kağıthane,"6,000"
1 + 1,60,55,1,12,Kombi,5,Eşyalı,27.500,Şişli,"27,500"
2 + 1,115,98,1,15,Kombi,12,Eşyalı,Boş,Büyükçekmece,"8,000"
1 + 1,70,65,Giriş Katı,35,Kombi,3,Eşyalı Değil,Boş,Fatih,"7,000"
2 + 1,75,65,3,30,Kombi,5,Eşyalı Değil,"Kuzey, Güney",Şişli,"15,000"
2 + 1,95,90,Bahçe Katı,22,Kombi,4,Eşyalı Değil,Boş,Kağıthane,"8,000"
3 + 2,110,100,3,Sıfır Bina,Kombi,3,Eşyalı Değil,Batı,Küçükçekmece,"7,500"
3 + 1,125,100,7,30,Merkezi,7,Eşyalı Değil,14.000,Üsküdar,"14,000"
3 + 1,122,112,4,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Tuzla,"11,000"
2 + 1,90,80,7,7,Kombi,8,Eşyalı,Güney,Kadıköy,"15,000"
3 + 1,135,125,2,38,Merkezi,9,Eşyalı Değil,Boş,Bakırköy,"14,500"
3 + 1,125,105,9,7,Kombi,11,Eşyalı Değil,Boş,Kadıköy,"19,000"
3 + 1,140,130,1,40,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"16,000"
2 + 1,80,75,1,35,Kombi,4,Eşyalı Değil,Boş,Fatih,"7,000"
2 + 1,90,80,1,6,Kombi,4,Eşyalı Değil,Boş,Çekmeköy,"6,300"
3 + 1,130,115,Yüksek Giriş,27,Kombi,9,Eşyalı Değil,Boş,Kartal,"6,100"
3 + 1,160,150,6,20,Kombi,6,Eşyalı,Kiracılı,Beykoz,"6,500"
2 + 1,100,80,3,31,Kombi,5,Uygun değil,"Güney, Batı",Bakırköy,"12,000"
3 + 1,138,110,Ara Kat,13,Kombi,20,Eşyalı Değil,Boş,Ümraniye,"13,600"
3 + 2,320,180,En Üst Kat,25,Kombi,8,2,100,Maltepe,"14,000"
3 + 1,130,110,5,30,Merkezi,10,Eşyalı,Kiracılı,Kadıköy,"14,000"
1 + 1,85,70,Yüksek Giriş,22,Kombi,2,Eşyalı Değil,Boş,Sarıyer,"10,000"
2 + 1,100,60,2,Sıfır Bina,Merkezi (Pay Ölçer),10,Eşyalı,Boş,Beşiktaş,"18,000"
3 + 1,160,150,4,40,Kombi,7,Eşyalı,Kiracılı,Beyoğlu,"37,000"
3 + 1,160,136,Ara Kat,14,Kombi,13,Eşyalı Değil,Kiracılı,Ümraniye,"12,500"
3 + 1,147,117,Ara Kat,25,Merkezi,5,Eşyalı Değil,Boş,Üsküdar,"11,000"
3 + 1,145,135,3,12,Kombi,4,Eşyalı Değil,Boş,Arnavutköy,"5,500"
2 + 1,85,70,10,1,Merkezi (Pay Ölçer),14,Eşyalı Değil,Boş,Şişli,"20,000"
2 + 1,85,80,2,21,Kombi,4,Uygun değil,Güney,Kadıköy,"14,000"
3 + 1,150,140,4,20,Kombi,5,Eşyalı Değil,Boş,Üsküdar,"12,000"
2 + 1,100,90,En Üst Kat,45,Kombi,4,Eşyalı,40.000,Beyoğlu,"20,000"
2 + 1,125,120,Zemin,Sıfır Bina,Kombi,7,Uygun değil,35,Avcılar,"9,000"
3 + 1,120,110,2,15,Kombi,7,Eşyalı Değil,Boş,Pendik,"6,500"
2 + 1,110,100,3,5,Kombi,5,Eşyalı Değil,Boş,Esenyurt,"5,000"
5 + 2,320,300,En Üst Kat,28,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"32,000"
1 + 1,65,55,Yüksek Giriş,5,Kombi,2,Eşyalı,Boş,Şişli,"18,500"
2 + 1,122,100,5,10,Merkezi (Pay Ölçer),19,Eşyalı Değil,Boş,Küçükçekmece,"17,000"
2 + 1,100,95,Ara Kat,22,Kombi,5,Eşyalı,Boş,Küçükçekmece,"8,000"
1 + 1,67,65,21 ve üzeri,1,Merkezi (Pay Ölçer),25,Eşyalı,Boş,Bağcılar,"9,500"
2 + 1,80,75,Çatı Katı,35,Kombi,5,Eşyalı Değil,Boş,Beşiktaş,"25,000"
3 + 1,140,120,Bahçe Katı,40,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"14,000"
2 + 1,80,75,Çatı Katı,15,Kombi,3,Eşyalı,Boş,Ataşehir,"8,000"
2 + 1,110,100,2,11,Kombi,5,Uygun değil,"Güney, Doğu, Batı",Eyüpsultan,"20,000"
2 + 1,90,85,Ara Kat,13,Kombi,6,Eşyalı Değil,Kiracılı,Şişli,"10,000"
3 + 1,129,98,5,13,Kombi,13,Eşyalı Değil,Boş,Ümraniye,"15,500"
3 + 1,140,120,7,35,Merkezi (Pay Ölçer),11,Eşyalı Değil,Boş,Kadıköy,"14,500"
2 + 1,100,90,2,25,Kombi,5,Eşyalı,Boş,Şişli,"20,000"
2 + 1,90,80,3,30,Kombi,5,Eşyalı Değil,Boş,Avcılar,"5,500"
4 + 1,210,200,3,30,Kombi,3,Eşyalı Değil,Fatih,"13,000",
3 + 1,140,125,8,21,Kombi,12,Eşyalı Değil,16.500,Üsküdar,"14,500"
3 + 1,120,110,1,34,Merkezi,4,Eşyalı Değil,Boş,Bakırköy,"14,000"
2 + 1,100,85,Yüksek Giriş,35,Kombi,5,Eşyalı Değil,Boş,Beşiktaş,"15,500"
1 + 1,68,54,Ara Kat,7,Merkezi (Pay Ölçer),5,Eşyalı Değil,667,Sultanbeyli,"4,850"
1 + 1,64,40,Ara Kat,Sıfır Bina,Yerden Isıtma,8,Eşyalı Değil,Boş,Ümraniye,"13,000"
3 + 1,150,140,Giriş Katı,26,Kombi,5,Eşyalı,Boş,Beşiktaş,"20,000"
2 + 1,85,80,Ara Kat,30,Kombi,3,Eşyalı,Boş,Silivri,"5,500"
3 + 1,130,120,3,25,Kombi,5,Eşyalı,Doğalgaz,Şişli,"28,000"
2 + 1,95,90,1,33,Kombi,5,Eşyalı Değil,Boş,Bahçelievler,"7,500"
2 + 1,90,80,Yarı Bodrum,30,Kombi,5,Eşyalı,Boş,Şişli,"10,000"
2 + 1,110,90,Bahçe Katı,25,Kombi,3,Eşyalı Değil,Boş,Bakırköy,"15,500"
1 + 1,50,45,Yüksek Giriş,1,Kombi,6,Eşyalı Değil,Boş,Beyoğlu,"18,400"
5 + 2,280,225,4,11,Kombi,5,Uygun değil,300,Büyükçekmece,"12,500"
2 + 1,145,110,7,3,Merkezi (Pay Ölçer),21,Uygun değil,"Güney, Doğu",Başakşehir,"11,500"
3 + 1,140,125,Ara Kat,27,Kombi,6,Eşyalı Değil,Boş,Bahçelievler,"9,500"
3 + 1,160,130,1,4,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"19,000"
4 + 1,180,165,9,30,Merkezi,12,Eşyalı Değil,Kiracılı,Beşiktaş,"20,000"
3 + 1,136,120,2,4,Kombi,5,3,Doğalgaz,Beşiktaş,"38,000"
3 + 1,140,120,Ara Kat,12,Kombi,9,Eşyalı Değil,Mülk Sahibi,Çekmeköy,"11,000"
1 + 1,130,110,Çatı Katı,26,Kombi,5,Eşyalı,Kiracılı,Maltepe,"9,500"
3 + 1,167,125,12,3,Merkezi (Pay Ölçer),16,Eşyalı,Boş,Başakşehir,"22,000"
2 + 1,90,85,1,35,Kombi,3,Eşyalı Değil,Boş,Bahçelievler,"7,000"
2 + 1,95,85,Yüksek Giriş,13,Kombi,4,Eşyalı Değil,Boş,Eyüpsultan,"12,500"
3 + 1,138,115,10,10,Merkezi,12,Eşyalı,Boş,Avcılar,"12,500"
3 + 1,130,110,En Üst Kat,35,Merkezi,5,Eşyalı Değil,Mülk Sahibi,Maltepe,"14,500"
2 + 1,90,80,Bahçe Katı,8,Kombi,4,Eşyalı Değil,Boş,Beylikdüzü,"5,500"
4 + 1,180,150,4,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Maltepe,"19,000"
2 + 1,74,70,3,4,Kombi,6,Eşyalı,Boş,Beşiktaş,"30,000"
2 + 1,85,80,4,30,Kombi,4,Eşyalı Değil,Kiracılı,Fatih,"8,000"
3 + 1,130,120,Ara Kat,20,Kombi,13,Eşyalı Değil,Boş,Zeytinburnu,"9,000"
2 + 1,115,80,5,4,Merkezi (Pay Ölçer),24,Eşyalı,Boş,Kadıköy,"20,000"
2 + 1,105,100,3,11,Kombi,5,Eşyalı,Güney,Eyüpsultan,"12,500"
1 + 1,90,80,Ara Kat,Sıfır Bina,Kombi,6,Eşyalı,Güney,Esenyurt,"10,000"
3 + 1,138,108,5,13,Kombi,15,Eşyalı Değil,Mülk Sahibi,Gaziosmanpaşa,"18,000"
3 + 1,145,135,3,15,Kombi,3,Eşyalı,Mülk Sahibi,Kağıthane,"13,000"
2 + 1,75,70,Ara Kat,20,Kombi,4,Eşyalı Değil,Boş,Kağıthane,"7,100"
1 + 1,55,50,3,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Üsküdar,"12,500"
2 + 1,130,125,Ara Kat,15,Kombi,4,Eşyalı Değil,Boş,Beylikdüzü,"6,000"
1 + 1,70,60,4,12,Merkezi,7,Eşyalı Değil,Boş,Pendik,"6,250"
3 + 1,140,110,10,2,Merkezi (Pay Ölçer),13,Eşyalı Değil,Boş,Kartal,"12,500"
3 + 1,135,120,Ara Kat,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Beylikdüzü,"9,000"
2 + 1,140,115,2,Sıfır Bina,Kombi,5,Eşyalı Değil,Boş,Başakşehir,"12,000"
3 + 1,175,139,Ara Kat,Sıfır Bina,Kombi,6,Eşyalı Değil,Boş,Büyükçekmece,"12,000"
2 + 1,100,90,9,5,Kombi,13,Eşyalı Değil,Gonca Sitesi,Kartal,"8,500"
1 + 1,96,80,19,26,Merkezi (Pay Ölçer),19,Eşyalı Değil,Boş,Başakşehir,"8,500"
3 + 1,115,95,10,31,Kombi,13,Eşyalı Değil,Boş,Ataşehir,"9,000"
3 + 1,220,180,2,20,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"38,000"
3 + 1,125,120,En Üst Kat,29,Merkezi,3,Eşyalı Değil,Boş,Beşiktaş,"25,000"
3 + 1,160,140,2,25,Kombi,4,Eşyalı Değil,Boş,Avcılar,"9,500"
2 + 1,180,150,21 ve üzeri,4,Merkezi (Pay Ölçer),40,2,70,Sarıyer,"35,000"
3 + 1,120,110,3,45,Kombi,4,Eşyalı Değil,Boş,Bakırköy,"9,000"
3 + 1,100,90,5,25,Kombi,6,Eşyalı Değil,Boş,Kartal,"8,000"
2 + 1,85,80,3,Sıfır Bina,Kombi,4,Eşyalı Değil,Boş,Esenyurt,"4,500"
2 + 1,135,130,Ara Kat,10,Kombi,15,1,Beylikdüzü,"10,000",
5 + 2,260,250,Villa Katı,32,Kombi,4,Eşyalı Değil,Boş,Sarıyer,"33,500"
3 + 1,130,120,2,20,Kombi,2,Eşyalı,Boş,Sarıyer,"16,000"
1 + 1,65,60,18,4,Kombi,19,Eşyalı Değil,Boş,Esenyurt,"5,000"
3 + 1,120,105,8,21,Merkezi (Pay Ölçer),10,Uygun değil,"Kuzey, Doğu",Başakşehir,"11,000"
2 + 1,90,80,5,36,Kombi,5,Eşyalı Değil,Boş,Güngören,"8,500"
4 + 1,225,200,4,25,Kombi,4,Eşyalı Değil,Boş,Büyükçekmece,"8,500"
3 + 1,125,110,13,11,Kombi,13,Uygun değil,707,Küçükçekmece,"13,000"
2 + 1,98,90,3,14,Kombi,5,Eşyalı Değil,Boş,Üsküdar,"10,000"
3 + 1,180,155,Ara Kat,35,Merkezi,5,Eşyalı Değil,Boş,Kadıköy,"17,000"
3 + 1,170,150,3,11,Merkezi (Pay Ölçer),4,Eşyalı,Boş,Eyüpsultan,"30,000"
1 + 1,70,65,Ara Kat,35,Kombi,5,Eşyalı,Boş,Şişli,"7,000"
2 + 1,80,70,3,5,Kombi,4,Eşyalı,Boş,Şişli,"13,000"
1 + 1,90,80,Yüksek Giriş,25,Merkezi (Pay Ölçer),6,Eşyalı Değil,Boş,Büyükçekmece,"7,500"
3 + 1,170,155,16,8,Kombi,17,Eşyalı,Boş,Pendik,"18,900"
3 + 1,125,110,2,32,Kombi,4,Eşyalı,Boş,Kadıköy,"12,500"
2 + 1,120,110,4,25,Merkezi,5,Eşyalı Değil,Boş,Beyoğlu,"38,000"
2 + 1,75,65,2,19,Kombi,4,Eşyalı,Boş,Şişli,"13,000"
3 + 1,155,145,Kot 1,30,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"22,000"
5 + 1,300,280,2,15,Kombi,5,Eşyalı Değil,Mülk Sahibi,Bakırköy,"40,000"
3 + 1,135,130,2,26,Kombi,4,Uygun değil,600,Sarıyer,"40,000"
2 + 1,90,80,En Üst Kat,40,Kombi,3,Eşyalı,Boş,Beyoğlu,"12,000"
2 + 1,120,100,Bahçe Katı,7,Kombi,5,Eşyalı Değil,Kiracılı,Sancaktepe,"10,500"
3 + 1,110,95,4,20,Kombi,7,Eşyalı Değil,Boş,Bakırköy,"9,500"
4 + 1,160,150,Çatı Katı,10,Kombi,4,Eşyalı Değil,Boş,Şişli,"11,000"
3 + 1,150,140,2,16,Kombi,14,Uygun değil,250,Beylikdüzü,"7,500"
3 + 1,145,140,7,30,Merkezi,14,Eşyalı Değil,Boş,Beşiktaş,"17,000"
3 + 1,130,120,Ara Kat,20,Kombi,4,Eşyalı,Boş,Fatih,"12,000"
2 + 1,70,60,Giriş Katı,26,Kombi,4,Eşyalı,Doğalgaz,Üsküdar,"24,000"
3 + 1,145,130,1,20,Kombi,5,Eşyalı Değil,"Güney, Batı",Güngören,"8,250"
1 + 1,85,63,19,1,Merkezi (Pay Ölçer),40,Eşyalı,Boş,Şişli,"22,000"
2 + 1,110,90,2,36,Kombi,2,Eşyalı Değil,Boş,Üsküdar,"24,000"
3 + 1,170,160,3,32,Merkezi,4,Eşyalı Değil,Kiracılı,Bakırköy,"33,000"
2 + 1,115,85,2,7,Merkezi (Pay Ölçer),12,Eşyalı,Boş,Maltepe,"18,700"
2 + 1,85,70,Ara Kat,1,Merkezi (Pay Ölçer),7,Eşyalı Değil,Boş,Silivri,"3,000"
1 + 1,65,55,1,3,Kombi,6,Eşyalı,Kiracılı,Şişli,"18,000"
1 + 1,70,65,2,18,Kombi,4,Eşyalı,Boş,Ataşehir,"8,750"
2 + 1,80,75,Giriş Katı,10,Kombi,4,Eşyalı Değil,9.000,Şişli,"9,000"
2 + 1,90,70,Giriş Katı,Sıfır Bina,Merkezi (Pay Ölçer),6,Eşyalı Değil,Boş,Pendik,"10,000"
4 + 1,200,180,Bahçe Katı,20,Kombi,4,Eşyalı,Boş,Üsküdar,"22,500"
3 + 1,125,120,En Üst Kat,35,Kombi,4,Eşyalı,Boş,Fatih,"10,000"
3 + 1,135,115,4,25,Merkezi,8,Eşyalı Değil,Boş,Beylikdüzü,"10,000"
3 + 1,142,130,2,16,Kombi,15,Uygun değil,"Güney, Doğu",Esenyurt,"8,500"
2 + 2,150,140,4,5,Kombi,4,Eşyalı Değil,Boş,Zeytinburnu,"9,500"
1 + 1,100,75,4,25,Kombi,4,Eşyalı Değil,Kiracılı,Beşiktaş,"12,500"
2 + 1,75,60,3,35,Kombi,4,Eşyalı Değil,Kiracılı,Beşiktaş,"16,500"
2 + 1,130,105,Bahçe Katı,26,Kombi,4,Uygun değil,Kadıköy,"11,000",
2 + 1,140,120,En Üst Kat,10,Kombi,9,Eşyalı Değil,150,Esenyurt,"10,000"
4 + 1,145,135,3,30,Merkezi,7,Eşyalı,"Güney, Doğu",Beşiktaş,"27,500"
2 + 1,100,90,2,26,Kombi,5,Eşyalı,Boş,Avcılar,"8,000"
1 + 0,35,25,21 ve üzeri,3,VRV,35,Eşyalı,Güney,Kartal,"9,000"
3 + 1,140,120,4,45,Merkezi,6,Eşyalı,Boş,Kadıköy,"30,000"
3 + 1,145,135,2,60,Merkezi,5,Eşyalı,Boş,Şişli,"22,000"
3 + 1,132,110,4,13,Kombi,12,Eşyalı Değil,Boş,Küçükçekmece,"12,500"
3 + 1,115,110,1,15,Kombi,2,Eşyalı,Mülk Sahibi,Üsküdar,"15,000"
2 + 1,100,90,Bahçe Katı,5,Kombi,3,Uygun değil,"Güney, Batı",Sarıyer,"18,000"
2 + 1,65,50,Bahçe Katı,7,Kombi,5,Eşyalı Değil,Boş,Çekmeköy,"4,750"
3 + 1,125,110,6,30,Merkezi,14,Eşyalı Değil,Boş,Bakırköy,"16,000"
2 + 1,95,85,4,16,Kombi,5,Eşyalı Değil,Boş,Beyoğlu,"10,000"
