0,1,2,3,4,5,6,7,8,9,10
3 + 1,120,100,1,29,Kombi,4,Eşyalı Değil,Boş,Kadıköy,"11,000"
2 + 1,120,110,Bahçe Katı,20,Kombi,2,Eşyalı Değil,Boş,Sarıyer,"10,000"
2 + 1,100,75,Ara Kat,Sıfır Bina,Kombi,9,Eşyalı Değil,Boş,Beşiktaş,"18,500"
3 + 1,140,120,9,12,Kombi,10,Eşyalı,Belirtilmemiş,Kağıthane,"22,500"
6 + 1,225,195,En Üst Kat,25,Kombi,5,Eşyalı Değil,Boş,Üsküdar,"14,000"
2 + 1,80,75,1,40,Kombi,4,Eşyalı Değil,Boş,Şişli,"8,000"
1 + 1,60,55,3,1,Kombi,5,Eşyalı,Boş,Şişli,"21,000"
1 + 1,82,65,17,2,Merkezi (Pay Ölçer),48,Eşyalı Değil,Boş,Şişli,"26,000"
3 + 1,180,140,Kot 1,35,Kombi,5,Eşyalı Değil,Boş,Sarıyer,"20,000"
2 + 1,105,100,3,30,Kombi,3,Eşyalı,Boş,Küçükçekmece,"10,000"
2 + 1,90,85,1,36,Kombi,3,1,30,Bahçelievler,"7,000"
2 + 1,100,90,Yüksek Giriş,20,Kombi,3,Eşyalı Değil,Kiracılı,Sarıyer,"10,000"
2 + 1,83,73,Yüksek Giriş,9,Kombi,7,Eşyalı Değil,Boş,Şişli,"10,000"
2 + 1,120,100,1,25,Doğalgaz Sobası,4,Eşyalı Değil,Boş,Bağcılar,"5,000"
2 + 1,90,85,4,32,Kombi,5,1,40,Bahçelievler,"8,000"
1 + 1,90,80,2,20,Kombi,3,Eşyalı,Boş,Sarıyer,"8,500"
2 + 1,75,70,1,Sıfır Bina,Kombi,6,Eşyalı,Boş,Şişli,"20,000"
2 + 1,95,90,4,32,Kombi,5,1,40,Bahçelievler,"7,000"
3 + 1,120,110,2,30,Kombi,5,Eşyalı Değil,Boş,Şişli,"13,000"
2 + 1,70,65,5,35,Kombi,5,Eşyalı Değil,Boş,Şişli,"7,000"
2 + 1,95,80,1,30,Kombi,5,Eşyalı Değil,Boş,Kağıthane,"9,950"
1 + 1,60,12,2,35,Merkezi,7,Eşyalı,Mülk Sahibi,Kadıköy,"3,000"
4 + 2,280,200,5,30,Kombi,5,Eşyalı Değil,Boş,Maltepe,"17,000"
2 + 1,85,80,2,5,Kombi,4,Eşyalı,Boş,Şişli,"12,000"
5 + 2,350,300,Çatı Katı,31,Merkezi,5,Eşyalı Değil,Boş,Bakırköy,"22,000"
3 + 1,115,100,Ara Kat,2,Kombi,10,Eşyalı Değil,Boş,Küçükçekmece,"10,500"
2 + 1,120,115,5,Sıfır Bina,Klima,5,Eşyalı Değil,Boş,Bahçelievler,"8,000"
3 + 1,135,120,11,Sıfır Bina,Merkezi (Pay Ölçer),12,Eşyalı Değil,Boş,Gaziosmanpaşa,"18,000"
2 + 1,105,90,12,10,Merkezi (Pay Ölçer),27,2,Evet,Esenyurt,"7,500"
3 + 1,135,120,11,Sıfır Bina,Merkezi (Pay Ölçer),12,Eşyalı Değil,Boş,Gaziosmanpaşa,"18,000"
2 + 1,85,80,2,5,Kombi,4,Eşyalı,Boş,Şişli,"12,000"
2 + 1,107,76,2,Sıfır Bina,Yerden Isıtma,20,Uygun değil,1.15,Maltepe,"22,000"
3 + 1,100,85,Yüksek Giriş,9,Kombi,5,Eşyalı Değil,Boş,Pendik,"7,000"
2 + 1,130,120,En Üst Kat,15,Kombi,5,1,150,Tuzla,"6,750"
4 + 1,140,130,Yüksek Giriş,15,Kombi,4,Eşyalı Değil,Boş,Tuzla,"6,500"
2 + 1,85,75,Yüksek Giriş,3,Kombi,4,Uygun değil,Boş,Esenyurt,"5,000"
3 + 1,130,120,Ara Kat,40,Kombi,5,Eşyalı Değil,Boş,Kadıköy,"35,000"
4 + 1,165,145,En Üst Kat,35,Kombi,9,Eşyalı,Boş,Kadıköy,"25,000"
2 + 1,100,85,Ara Kat,6,Kombi,6,Eşyalı Değil,Kiracılı,Çekmeköy,"7,500"
